date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:40	158984/158984	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202024%2001:07:58%20GMT	https://preview.tabler.io/	C:/My%20Web%20Sites/Tabler/preview.tabler.io/index.html	(from )
12:21:40	43/43	---M--	200	added ('OK')	text/plain	etag:%22d56de40239fccd665a4c9043c942f28a%22	https://preview.tabler.io/robots.txt		(from )
12:21:40	1407/1407	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202024%2004:12:04%20GMT	https://preview.tabler.io/stats/js/script.js	C:/My%20Web%20Sites/Tabler/preview.tabler.io/stats/js/script.js	(from https://preview.tabler.io/)
12:21:40	33310/33310	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222bf37aa65146b70b1a5d6c6b51b171a9%22	https://preview.tabler.io/favicon.ico	C:/My%20Web%20Sites/Tabler/preview.tabler.io/favicon.ico	(from https://preview.tabler.io/)
12:21:41	555187/555187	---MCZ	200	added ('OK')	text/css	etag:W/%22514f7d04b9688ceb3d9d5554dd4cefd7%22	https://preview.tabler.io/dist/css/tabler.min.css?1735606190	C:/My%20Web%20Sites/Tabler/preview.tabler.io/dist/css/tabler.min4f79.css	(from https://preview.tabler.io/)
12:21:41	15985/15985	---MCZ	200	added ('OK')	text/css	etag:W/%229b9517fce0d0768645d48c5d64e23139%22	https://preview.tabler.io/dist/css/tabler-flags.min.css?1735606190	C:/My%20Web%20Sites/Tabler/preview.tabler.io/dist/css/tabler-flags.min4f79.css	(from https://preview.tabler.io/)
12:21:41	10330/10330	---MCZ	200	added ('OK')	text/css	etag:W/%22308a82f6d34503f8e4fba219a094891f%22	https://preview.tabler.io/dist/css/tabler-payments.min.css?1735606190	C:/My%20Web%20Sites/Tabler/preview.tabler.io/dist/css/tabler-payments.min4f79.css	(from https://preview.tabler.io/)
12:21:41	30437/30437	---MCZ	200	added ('OK')	text/css	etag:W/%22d18252da4064b79c9085d4952f56aff2%22	https://preview.tabler.io/dist/css/tabler-vendors.min.css?1735606190	C:/My%20Web%20Sites/Tabler/preview.tabler.io/dist/css/tabler-vendors.min4f79.css	(from https://preview.tabler.io/)
12:21:41	4898/4898	---MCZ	200	added ('OK')	text/css	etag:W/%224292ee076b4b93c60cada717528527ec%22	https://preview.tabler.io/dist/css/demo.min.css?1735606190	C:/My%20Web%20Sites/Tabler/preview.tabler.io/dist/css/demo.min4f79.css	(from https://preview.tabler.io/)
12:21:42	11497/11497	---M-Z	200	added ('OK')	text/css	etag:W/%226737eec5-2ce9%22	https://rsms.me/inter/inter.css	C:/My%20Web%20Sites/Tabler/rsms.me/inter/inter.css	(from https://preview.tabler.io/)
